"","Malaria"
"Algeria","0.0","2017","27.5231 3.1685","Algeria"
"Angola","7.0","2017","-12.2916 17.5029","Angola"
"Benin","16.4","2017","10.6795 2.2845","Benin"
"Botswana","0.1","2017","-21.6721 23.9051","Botswana"
"Burkina Faso","20.0","2017","13.0516 -0.6541","Burkina Faso"
"Burundi","9.7","2017","-3.407 29.8885","Burundi"
"Cape Verde","0.0","2017","15.0819 -23.6368","Cape Verde"
"Cameroon","13.7","2017","4.5495 11.3105","Cameroon"
"Central African Rep.","17.4","2017","7.2596 21.6691","Central African Rep."
"Chad","8.4","2017","17.1223 19.3602","Chad"
"Comoros","0.1","2017","-11.79 43.356","Comoros"
"Congo","6.6","2017","0.0213 16.1533","Congo"
"Côte d'Ivoire","7.2","2017","7.5538 -5.6121","Côte d'Ivoire"
"Dem. Rep. Congo","13.4","2017","-1.6864 23.7526","Dem. Rep. Congo"
"Djibouti","0.0","2017","12.169 42.904","Djibouti"
"Egypt","0.0","2017","26.1939 28.8939","Egypt"
"Eq. Guinea","16.1","2017","1.647 10.2955","Eq. Guinea"
"Eritrea","0.7","2017","15.9194 38.4016","Eritrea"
"Eswatini","0.0","2017","-26.4899 31.3955","Eswatini"
"Ethiopia","0.8","2017","8.83 38.362","Ethiopia"
"Gabon","6.2","2017","-0.647 11.6875","Gabon"
"Gambia","4.1","2017","13.5035 -14.2265","Gambia"
"Ghana","7.5","2017","6.862 -1.092","Ghana"
"Guinea","16.3","2017","10.6071 -13.1511","Guinea"
"Guinea-Bissau","4.2","2017","12.0227 -15.1106","Guinea-Bissau"
"Kenya","4.4","2017","0.4145 37.8745","Kenya"
"Lesotho","0.0","2017","-29.6255 28.1698","Lesotho"
"Liberia","9.2","2017","6.7929 -9.9769","Liberia"
"Libya","0.0","2017","25.9354 20.7569","Libya"
"Madagascar","6.6","2017","-18.821 46.8655","Madagascar"
"Malawi","8.2","2017","-13.3315 33.8445","Malawi"
"Mali","14.2","2017","18.4654 -1.9417","Mali"
"Mauritania","4.3","2017","19.1695 -9.4755","Mauritania"
"Mauritius","0.0","2017","-20.2793 57.5696","Mauritius"
"Morocco","0.0","2017","31.7 -7.1325","Morocco"
"Mozambique","12.6","2017","-13.497 38.127","Mozambique"
"Namibia","2.1","2017","-20.7238 17.0299","Namibia"
"Niger","18.6","2017","17.3457 9.3245","Niger"
"Nigeria","9.8","2017","9.6551 8.1061","Nigeria"
"Rwanda","4.4","2017","-2.0136 29.9188","Rwanda"
"Sao Tome and Principe","0.0","2017","0.2356 6.6075","Sao Tome and Principe"
"Senegal","4.3","2017","14.9983 -14.9588","Senegal"
"Seychelles","0.0","2017","-4.6761 55.4673","Seychelles"
"Sierra Leone","22.5","2017","8.5306 -11.7953","Sierra Leone"
"Somalia","0.5","2017","2.7589 42.8847","Somalia"
"South Africa","0.1","2017","-29.6482 23.1067","South Africa"
"S. Sudan","6.6","2017","7.2928 30.1985","S. Sudan"
"Sudan","1.3","2017","16.5644 29.0451","Sudan"
"Togo","23.1","2017","8.8015 0.9075","Togo"
"Tunisia","0.0","2017","33.7774 9.0109","Tunisia"
"Uganda","10.5","2017","1.9676 32.9896","Uganda"
"Tanzania","6.3","2017","-5.6989 34.2839","Tanzania"
"Zambia","8.2","2017","-14.9226 26.1418","Zambia"
"Zimbabwe","4.4","2017","-18.907 29.7885","Zimbabwe"
